职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
销售工程师,上海尼博电子科技,6千-1.2万,成都,郫都区,2年,本科,仪器仪表/工业自动化,民营,50-150人,https://jobs.51job.com/chengdu-pdq/142041325.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coBGVQN1E3Aj9SMFY3UzQ.html
区域大客户代表,江苏永山窍档案管理服务,6千-1.2万,南京,玄武区,1年,大专,外包服务,民营,50-150人,https://jobs.51job.com/nanjing-xwq/151618912.html?s=sou_sou_soulb&t=0_0&req=9a6ffd9350738c45eb983cd541ba99bd,https://jobs.51job.com/all/coBWBdMFIxVW5UMVMwUTE.html
人事行政主管,河淳商贸（上海）,1-1.2万,上海,徐汇区,3-4年,本科,批发/零售,外资（非欧美）,50-150人,https://jobs.51job.com/shanghai-xhq/132029747.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAGQGZ1I0DzVRPQJkAGM.html
水电工,上海柏连艾广告,6-8千,上海,松江区,1年,高中,广告,民营,150-500人,https://jobs.51job.com/shanghai-sjq/152330021.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coVTEAZFY0VGJSNQ1pXTE.html
仓储主管（物流）(J11986),浙江卡游动漫,1-1.5万,金华,未知,5-7年,大专,批发/零售,民营,1000-5000人,https://jobs.51job.com/jinhua/152329975.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coCWkBY180VG5SM1E1VjU.html
淘宝客服,上海金乾盛五金机电,4.5-7千,上海,黄浦区,1年,,机械/设备/重工,民营,50-150人,https://jobs.51job.com/shanghai-hpq/152329954.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coBmMBZQJiAzhVNgxuBWk.html
订单评审高级专员--盐城基地,通威集团,1.5-2万·15薪,盐城,未知,5-7年,本科,多元化业务集团公司,民营,10000人以上,https://jobs.51job.com/yancheng/152329946.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAWVUN1QyAz5RMFcz.html
专职司机,深圳市高科新产业控股,4.5-6千,深圳,光明区,5-7年,中技/中专,物业管理/商业中心,民营,少于50人,https://jobs.51job.com/shenzhen-gmq/132018801.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coUjBRPAJlATsBY1M4Bmo.html
氩弧焊工,安徽龙泽实业,8千-1.2万,安庆,未知,3-4年,初中及以下,原材料和加工,民营,50-150人,https://jobs.51job.com/anqing/152329892.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coVjZXNQVuAjUFaVMzBmM.html
出纳兼收银,仪征景达实业投资,4-4.5千,扬州,仪征市,2年,大专,房地产,民营,少于50人,https://jobs.51job.com/yangzhou-yzs/152329861.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coCWpdPAVgAzxVMlAzAW0.html
清真民族 拉面师傅 回民师傅,湖南邵阳新又好餐饮,7-8千,长沙,开福区,无需经验,,餐饮业,民营,500-1000人,https://jobs.51job.com/changsha-kfq/152329323.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAmxTNQBgVGNWMw1vB2E.html
户用光伏扶商工程师,上海能辉科技,8千-1.4万,长沙,天心区,3-4年,大专,新能源,已上市,150-500人,https://jobs.51job.com/changsha-txq/152242732.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAGRWMVA6ATsAYFA6AmQ.html
自动化销售  五险一金 双休,沈阳鑫瑞博达科技,6-8千,沈阳,未知,2年,大专,仪器仪表/工业自动化,民营,少于50人,https://jobs.51job.com/shenyang/127517793.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coCWxVMVIyBT0FZA1sAGM.html
仓库管理员,巨力精密设备制造（东莞）,5.5-6.5千,东莞,长安镇,1年,中技/中专,机械/设备/重工,外资（非欧美）,150-500人,https://jobs.51job.com/dongguan-caz/151127890.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAmZWMFM0DjcPbwNhB2A.html
销售（建筑咨询）,上海荣天商务咨询,10-20万/年,上海,黄浦区,1年,大专,专业服务(咨询、人力资源、财会),民营,50-150人,https://jobs.51job.com/shanghai-hpq/152033463.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coBmUGZwNiADwDYwJmUDw.html
BD经理,上海领康时代生物技术,1.5-3万·13薪,上海,奉贤区,3-4年,本科,制药/生物工程,民营,50-150人,https://jobs.51job.com/shanghai-fxq/146385480.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coBWVQPF84UmsPbQJnVTQ.html
网管,珉钧集装箱服务（上海）,8千-1万·13薪,上海,浦东新区,1年,大专,交通/运输/物流,外资（非欧美）,150-500人,https://jobs.51job.com/shanghai-pdxq/149571162.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coBmJRNAJpDzcCY1E1AmQ.html
